I, [2024-08-25T17:54:44.611792 #22512]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.6.0)
E, [2024-08-25T17:54:44.612689 #22512] ERROR -- Kitchen: ------Exception-------
E, [2024-08-25T17:54:44.612977 #22512] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2024-08-25T17:54:44.613108 #22512] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/gamr2/Chef_Vagrant_Wp/kitchen.yml does not exist.
E, [2024-08-25T17:54:44.613506 #22512] ERROR -- Kitchen: ----------------------
E, [2024-08-25T17:54:44.613671 #22512] ERROR -- Kitchen: ------Backtrace-------
E, [2024-08-25T17:54:44.613882 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2024-08-25T17:54:44.614040 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/config.rb:153:in `data'
E, [2024-08-25T17:54:44.614231 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/config.rb:131:in `suites'
E, [2024-08-25T17:54:44.614435 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/config.rb:183:in `filter_instances'
E, [2024-08-25T17:54:44.614595 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/config.rb:142:in `build_instances'
E, [2024-08-25T17:54:44.614741 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/config.rb:116:in `instances'
E, [2024-08-25T17:54:44.614918 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2024-08-25T17:54:44.615068 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2024-08-25T17:54:44.615219 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/command/test.rb:39:in `block in call'
E, [2024-08-25T17:54:44.615407 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/3.1.0/benchmark.rb:296:in `measure'
E, [2024-08-25T17:54:44.615571 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/command/test.rb:37:in `call'
E, [2024-08-25T17:54:44.615763 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/cli.rb:52:in `perform'
E, [2024-08-25T17:54:44.615930 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/cli.rb:250:in `test'
E, [2024-08-25T17:54:44.616145 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/thor-1.2.2/lib/thor/command.rb:27:in `run'
E, [2024-08-25T17:54:44.616282 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/thor-1.2.2/lib/thor/invocation.rb:127:in `invoke_command'
E, [2024-08-25T17:54:44.616493 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/thor-1.2.2/lib/thor.rb:392:in `dispatch'
E, [2024-08-25T17:54:44.616688 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/thor-1.2.2/lib/thor/base.rb:485:in `start'
E, [2024-08-25T17:54:44.616846 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/bin/kitchen:11:in `block in <top (required)>'
E, [2024-08-25T17:54:44.617059 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2024-08-25T17:54:44.617242 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/bin/kitchen:11:in `<top (required)>'
E, [2024-08-25T17:54:44.617391 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/bin/kitchen:457:in `load'
E, [2024-08-25T17:54:44.617590 #22512] ERROR -- Kitchen: C:/opscode/chef-workstation/bin/kitchen:457:in `<main>'
E, [2024-08-25T17:54:44.617735 #22512] ERROR -- Kitchen: ----End Backtrace-----
